#UP-iteration: 
#current,H-field,AVG magnetisation
+07.2000,-33.3620,-00.0577
+07.3000,-33.4840,-00.0577
+07.4000,-33.6140,-00.0577
+07.5000,-33.7420,-00.0577
+07.6000,-33.8720,-00.0577
+07.7000,-33.9970,-00.0577
+07.8000,-34.1130,-00.0577
+07.9000,-34.2180,-00.0577
+08.0000,-34.3370,-00.0577
+08.1000,-34.4510,-00.0577
+08.2000,-34.5600,-00.0577
+08.3000,-34.6610,-00.0577
+08.4000,-34.7600,-00.0577
+08.5000,-34.8670,-00.0577
+08.6000,-34.9700,-00.0577
+08.7000,-35.0660,-00.0577
+08.8000,-35.1600,-00.0577
+08.9000,-35.2480,-00.0577
+09.0000,-35.3410,-00.0577
+09.1000,-35.4300,-00.0577
+09.2000,-35.5300,-00.0577
+09.3000,-35.6020,-00.0577
+09.4000,-35.7040,-00.0577
+09.5000,-35.7780,-00.0577
+09.6000,-35.8700,-00.0577
+09.7000,-35.9560,-00.0577
+09.8000,-36.0250,-00.0577
+09.9000,-36.1000,-00.0577
+10.0000,-36.1740,-00.0577

#Down-iteration: 
#current,H-field,AVG magnetisation
+10.0000,-36.1720,-00.0577
+09.9000,-36.1140,-00.0577
+09.8000,-36.0470,-00.0577
+09.7000,-35.9820,-00.0577
+09.6000,-35.9030,-00.0577
+09.5000,-35.8230,-00.0577
+09.4000,-35.7530,-00.0577
+09.3000,-35.6760,-00.0577
+09.2000,-35.5870,-00.0577
+09.1000,-35.5130,-00.0578
+09.0000,-35.4460,-00.0577
+08.9000,-35.3460,-00.0577
+08.8000,-35.2660,-00.0577
+08.7000,-35.1870,-00.0577
+08.6000,-35.0930,-00.0578
+08.5000,-35.0120,-00.0578
+08.4000,-34.9180,-00.0578
+08.3000,-34.8210,-00.0578
+08.2000,-34.7230,-00.0578
+08.1000,-34.6210,-00.0578
+08.0000,-34.5180,-00.0578
+07.9000,-34.4180,-00.0578
+07.8000,-34.3110,-00.0578
+07.7000,-34.1900,-00.0578
+07.6000,-34.0720,-00.0578
+07.5000,-33.9760,-00.0578
+07.4000,-33.8510,-00.0578
+07.3000,-33.7290,-00.0578
+07.2000,-33.6020,-00.0578
+07.1000,-33.4670,-00.0578
+07.0000,-33.3500,-00.0578
+06.9000,-33.2030,-00.0578
+06.8000,-33.0640,-00.0578
+06.7000,-32.9240,-00.0578
+06.6000,-32.7660,-00.0578
+06.5000,-32.6190,-00.0578
+06.4000,-32.4470,-00.0579
+06.3000,-32.2760,-00.0578
+06.2000,-32.0930,-00.0578
+06.1000,-31.9030,-00.0578
+06.0000,-31.7180,-00.0578
+05.9000,-31.5030,-00.0578
+05.8000,-31.2940,-00.0579
+05.7000,-31.0700,-00.0579
+05.6000,-30.8150,-00.0579
+05.5000,-30.5690,-00.0579
+05.4000,-30.3040,-00.0579
+05.3000,-30.0150,-00.0579
+05.2000,-29.7270,-00.0578
+05.1000,-29.4000,-00.0579
+05.0000,-29.0570,-00.0578
+04.9000,-28.7170,-00.0579
+04.8000,-28.3550,-00.0579
+04.7000,-27.9460,-00.0579
+04.6000,-27.5360,-00.0579
+04.5000,-27.1030,-00.0579
+04.4000,-26.6410,-00.0579
+04.3000,-26.1890,-00.0579
+04.2000,-25.6890,-00.0579
+04.1000,-25.1560,-00.0579
+04.0000,-24.6410,-00.0579
+03.9000,-24.0800,-00.0579
+03.8000,-23.5120,-00.0579
+03.7000,-22.9440,-00.0579
+03.6000,-22.3440,-00.0579
+03.5000,-21.7550,-00.0579
+03.4000,-21.1380,-00.0579
+03.3000,-20.5430,-00.0579
+03.2000,-19.9320,-00.0579
+03.1000,-19.3260,-00.0579
+03.0000,-18.7240,-00.0579
+02.9000,-18.1010,-00.0579
+02.8000,-17.5040,-00.0579
+02.7000,-16.8850,-00.0580
+02.6000,-16.2820,-00.0579
+02.5000,-15.6800,-00.0579
+02.4000,-15.0680,-00.0579
+02.3000,-14.4640,-00.0580
+02.2000,-13.8470,-00.0579
+02.1000,-13.2410,-00.0579
+02.0000,-12.6320,-00.0579
+01.9000,-12.0290,-00.0580
+01.8000,-11.4140,-00.0580
+01.7000,-10.8020,-00.0580
+01.6000,-10.1910,-00.0580
+01.5000,-09.5810,-00.0580
+01.4000,-08.9840,-00.0580
+01.3000,-08.3700,-00.0580
+01.2000,-07.7470,-00.0580
+01.1000,-07.1450,-00.0580
+01.0000,-06.5330,-00.0580
+00.9000,-05.9330,-00.0580
+00.8000,-05.3180,-00.0580
+00.7000,-04.7080,-00.0580
+00.6000,-04.1050,-00.0580
+00.5000,-03.4880,-00.0580
+00.4000,-02.8770,-00.0580
+00.3000,-02.2710,-00.0580
+00.2000,-01.6620,-00.0580
+00.1000,-01.0520,-00.0581
+00.0000,-00.4340,-00.0580
-00.1000,+00.1630,-00.0581
-00.2000,+00.7790,-00.0580
-00.3000,+01.3910,-00.0580
-00.4000,+02.0090,-00.0581
-00.5000,+02.6030,-00.0580
-00.6000,+03.2320,-00.0581
-00.7000,+03.8330,-00.0580
-00.8000,+04.4440,-00.0580
-00.9000,+05.0520,-00.0581
-01.0000,+05.6460,-00.0581
-01.1000,+06.2710,-00.0581
-01.2000,+06.8860,-00.0581
-01.3000,+07.4940,-00.0581
-01.4000,+08.1020,-00.0575
-01.5000,+08.7170,-00.0575
-01.6000,+09.3260,-00.0574
-01.7000,+09.9400,-00.0574
-01.8000,+10.5550,-00.0575
-01.9000,+11.1460,-00.0575
-02.0000,+11.7660,-00.0574
-02.1000,+12.3600,-00.0574
-02.2000,+12.9880,-00.0575
-02.3000,+13.6000,-00.0574
-02.4000,+14.1960,-00.0574
-02.5000,+14.8060,-00.0574
-02.6000,+15.4060,-00.0574
-02.7000,+16.0500,-00.0575
-02.8000,+16.6370,-00.0575
-02.9000,+17.2450,-00.0574
-03.0000,+17.8600,-00.0575
-03.1000,+18.4560,-00.0575
-03.2000,+19.0800,-00.0575
-03.3000,+19.6830,-00.0575
-03.4000,+20.2930,-00.0575
-03.5000,+20.9130,-00.0575
-03.6000,+21.5150,-00.0575
-03.7000,+22.1110,-00.0575
-03.8000,+22.6980,-00.0575
-03.9000,+23.3060,-00.0575
-04.0000,+23.8870,-00.0575
-04.1000,+24.4670,-00.0575
-04.2000,+25.0310,-00.0575
-04.3000,+25.5820,-00.0575
-04.4000,+26.1240,-00.0575
-04.5000,+26.6410,-00.0575
-04.6000,+27.1280,-00.0575
-04.7000,+27.5990,-00.0575
-04.8000,+28.0310,-00.0575
-04.9000,+28.4600,-00.0575
-05.0000,+28.8650,-00.0575
-05.1000,+29.2400,-00.0575
-05.2000,+29.5970,-00.0575
-05.3000,+29.9370,-00.0575
-05.4000,+30.2630,-00.0575
-05.5000,+30.5720,-00.0575
-05.6000,+30.8550,-00.0575
-05.7000,+31.1310,-00.0575
-05.8000,+31.3980,-00.0575
-05.9000,+31.6390,-00.0575
-06.0000,+31.8950,-00.0575
-06.1000,+32.1010,-00.0575
-06.2000,+32.3280,-00.0575
-06.3000,+32.5480,-00.0575
-06.4000,+32.7440,-00.0575
-06.5000,+32.9500,-00.0575
-06.6000,+33.1240,-00.0576
-06.7000,+33.3030,-00.0575
-06.8000,+33.4760,-00.0576
-06.9000,+33.6310,-00.0576
-07.0000,+33.8040,-00.0576
-07.1000,+33.9440,-00.0576
-07.2000,+34.0860,-00.0576
-07.3000,+34.2430,-00.0576
-07.4000,+34.3780,-00.0576
-07.5000,+34.5050,-00.0576
-07.6000,+34.6330,-00.0576
-07.7000,+34.7600,-00.0576
-07.8000,+34.8930,-00.0576
-07.9000,+35.0050,-00.0576
-08.0000,+35.1190,-00.0576
-08.1000,+35.2420,-00.0576
-08.2000,+35.3490,-00.0576
-08.3000,+35.4540,-00.0576
-08.4000,+35.5600,-00.0576
-08.5000,+35.6690,-00.0576
-08.6000,+35.7530,-00.0576
-08.7000,+35.8640,-00.0576
-08.8000,+35.9680,-00.0576
-08.9000,+36.0670,-00.0577
-09.0000,+36.1680,-00.0576
-09.1000,+36.2460,-00.0576
-09.2000,+36.3350,-00.0576
-09.3000,+36.4280,-00.0576
-09.4000,+36.5150,-00.0576
-09.5000,+36.6140,-00.0576
-09.6000,+36.6810,-00.0576
-09.7000,+36.7670,-00.0577
-09.8000,+36.8520,-00.0577
-09.9000,+36.9280,-00.0577
-10.0000,+37.0180,-00.0577
